"id","product_name","price","offer_from"
1,"Erdbeeren","1.99","2024-03-18"
2,"Grüne Kiwi","0.29","2024-03-18"
3,"Mango","1.79","2024-03-18"
4,"Bio Broccoli","1.49","2024-03-18"
5,"Porree","0.59","2024-03-18"
6,"Rote Spitzpaprika","1.29","2024-03-18"
7,"Kaiserschoten","2.22","2024-03-18"
8,"Speisemöhren","1.39","2024-03-18"
9,"Bio Cherry Romatomaten","1.29","2024-03-18"
10,"Mix Tafeltrauben","1.99","2024-03-18"
11,"Getrocknete Datteln","0.99","2024-03-18"
12,"REWE Feine Welt Aroma Datteln","2.49","2024-03-18"
13,"Rote Tafeläpfel","2.79","2024-03-18"
14,"Speisekartoffeln","2.22","2024-03-18"
15,"Freilandkräuter","1.99","2024-03-18"
16,"Mandarinen","1.69","2024-03-18"
17,"Baby Spinat","1.79","2024-03-18"
18,"ja! Erdnüsse","1.99","2024-03-18"
19,"Seeburger Milde Pinienkerne","2.99","2024-03-25"
20,"Seeburger Edel-Nuss-Mix","2.99","2024-03-25"
21,"Frische Kräuter Petersilie glatt","0.69","2024-03-25"
22,"Frische Kräuter Schnittlauch","0.69","2024-03-25"
23,"Snack Äpfel","1.99","2024-03-25"
24,"Saftorangen","2.99","2024-03-25"
25,"Radieschen","0.59","2024-03-25"
26,"Grüner Bio Spargel","5.55","2024-03-25"
27,"San Marzano Tomaten","4.49","2024-03-25"
28,"Premium Erdbeeren","2.99","2024-03-25"
29,"Weißer Spargel","15.90","2024-03-25"
30,"Zitrone","0.99","2024-03-25"
31,"Salatgurke","0.89","2024-03-25"
32,"Bio Erdbeeren","1.99","2024-03-25"
33,"Mini Rispentomaten","2.22","2024-03-25"
34,"Essreife Mango","1.99","2024-03-25"
35,"Äpfel Braeburn","1.99","2024-03-11"
36,"Bananen","1.49","2024-03-11"
37,"Birnen Conference","1.79","2024-03-11"
38,"Clementinen","1.29","2024-03-11"
39,"Grapefruit","0.99","2024-03-11"
40,"Mandarinen","1.69","2024-03-11"
41,"Orangen Navelina","1.49","2024-03-11"
42,"Ananas","2.99","2024-03-11"
43,"Avocado Hass","1.99","2024-03-11"
44,"Brokkoli","1.49","2024-03-11"
45,"Champignons","1.29","2024-03-11"
46,"Gurken","0.89","2024-03-11"
47,"Kartoffeln festkochend","1.29","2024-03-11"
48,"Walnüsse","3.49","2024-03-11"
49,"Haselnüsse","2.99","2024-03-11"
50,"Wirsingkohl","1.49","2024-03-11"
51,"Äpfel Elstar","1.79","2024-03-04"
52,"Birnen Abate Fetel","1.69","2024-03-04"
53,"Clementinen","1.19","2024-03-04"
54,"Grapefruit","0.89","2024-03-04"
55,"Mandarinen","1.59","2024-03-04"
56,"Orangen Valencia","1.39","2024-03-04"
57,"Pflaumen","2.29","2024-03-04"
58,"Ananas","2.79","2024-03-04"
59,"Avocado Fuerte","1.79","2024-03-04"
60,"Blumenkohl","1.39","2024-03-04"
61,"Champignons","1.19","2024-03-04"
62,"Gurken","0.79","2024-03-04"
63,"Kartoffeln mehligkochend","1.19","2024-03-04"
64,"Zwiebeln","0.99","2024-03-04"
65,"Spinat","1.79","2024-03-04"
66,"Cashewkerne","4.49","2024-03-04"
74,"Dunkle Pflaumen","3.49","2024-04-01"
75,"Bio Orangen","1.79","2024-04-01"
76,"Bio Zitronen","0.99","2024-04-01"
77,"Grüner Spargel","3.99","2024-04-01"
78,"Granatapfel","2.29","2024-04-01"
79,"Romana Salatherzen","1.29","2024-04-01"
80,"Rhabarber","2.79","2024-04-01"
81,"Zitrone","0.99","2024-04-01"
82,"Rucola","0.75","2024-04-01"
83,"Mini Roma Rispentomaten","2.79","2024-04-01"
84,"Aubergine","0.95","2024-04-01"
85,"Grüner Bio Spargel","4.99","2024-04-01"
86,"Rote Tafeläpfel","2.79","2024-04-01"
87,"Bananen","1.79","2024-04-01"
88,"potatoes","2.22","2024-04-08"
89,"spinach","1.49","2024-04-08"
90,"apples","0.99","2024-04-08"
